STATE,XX,REP_V,DEM_V,OTH_V,TOT_V
Alabama,AL,0,90283,-3707,86576
Alabama,AL,0,120387,-6335,114052
Alabama,AL,97936,0,-3183,94753
Alaska,AK,0,0,0,0
Arizona,AZ,0,0,0,0
Arkansas,AR,81496,190158,0,271654
Arkansas,AR,90987,0,-65063,25924
Arkansas,AR,0,92227,-58850,33377
Arkansas,AR,87076,0,-32603,54473
California,CA,73835,42090,0,115925
California,CA,0,76819,-2856,73963
California,CA,0,96235,0,96235
California,CA,73835,34811,-150,108496
California,CA,104054,0,0,104054
California,CA,73835,61327,0,135162
California,CA,73835,42140,-8,115967
California,CA,73835,40940,-43910,70865
California,CA,73835,42071,-29113,86793
Colorado,CO,0,0,0,0
Connecticut,CT,0,0,0,0
Delaware,DE,0,0,0,0
Florida,FL,97628,227798,0,325426
Florida,FL,97628,227798,0,325426
Florida,FL,97628,24966,-58967,63627
Georgia,GA,96212,0,-200,96012
Georgia,GA,99158,0,-106,99052
Hawaii,HI,0,0,0,0
Idaho,ID,0,0,0,0
Illinois,IL,94698,0,-517,94181
Indiana,IN,0,0,0,0
Iowa,IA,0,0,0,0
Kansas,KS,0,0,0,0
Kentucky,KY,38488,92362,-33444,97406
Louisiana,LA,62770,146464,0,209234
Louisiana,LA,146464,62770,0,209234
Maine,ME,0,0,0,0
Maryland,MD,0,0,0,0
Massachusetts,MA,100444,0,-72451,27993
Massachusetts,MA,97551,0,-75696,21855
Massachusetts,MA,96834,0,-76450,20384
Massachusetts,MA,94896,35894,-58483,72307
Massachusetts,MA,103785,0,-75254,28531
Massachusetts,MA,116957,0,-90852,26105
Michigan,MI,97802,364,-18747,79419
Minnesota,MN,0,0,0,0
Mississippi,MS,0,0,0,0
Missouri,MO,103959,0,-36707,67252
Montana,MT,0,0,0,0
Nebraska,NE,0,0,0,0
Nevada,NV,0,0,0,0
New Hampshire,NH,0,0,0,0
New Jersey,NJ,81654,20582,-1848,100388
New Mexico,NM,0,0,0,0
New York,NY,81201,48289,-69156,60334
New York,NY,96973,83372,-96973,83372
North Carolina,NC,0,0,0,0
North Dakota,ND,0,0,0,0
Ohio,OH,0,0,0,0
Oklahoma,OK,0,0,0,0
Oregon,OR,101814,0,-94681,7133
Oregon,OR,117918,0,-59003,58915
Pennsylvania,PA,103854,0,-23214,80640
Rhode Island,RI,0,0,0,0
South Carolina,SC,0,0,0,0
South Dakota,SD,0,0,0,0
Tennessee,TN,83256,0,-66764,16492
Tennessee,TN,81703,10175,-54,91824
Tennessee,TN,85199,0,-27484,57715
Texas,TX,0,81005,-26814,54191
Texas,TX,0,75043,-21813,53230
Texas,TX,9142,73730,-31967,50905
Texas,TX,73730,28168,-9760,92138
Texas,TX,0,81268,-25051,56217
Texas,TX,0,81983,0,81983
Texas,TX,73730,41661,-28348,87043
Texas,TX,0,104345,-60879,43466
Utah,UT,0,0,0,0
Vermont,VT,106373,0,-49948,56425
Virginia,VA,102819,0,-7377,95442
Virginia,VA,101150,28710,-6264,123596
Washington,WA,0,0,0,0
West Virginia,WV,80457,0,-130,80327
Wisconsin,WI,108755,31033,-31451,108337
Wisconsin,WI,0,117973,-70628,47345
Wyoming,WY,0,0,0,0
