STATE,XX,REP_V,DEM_V,OTH_V,TOT_V
Alabama,AL,0,108469,-11066,97403
Alabama,AL,0,117497,-8101,109396
Alabama,AL,96747,0,-6589,90158
Alaska,AK,0,0,0,0
Arizona,AZ,0,0,0,0
Arkansas,AR,0,101827,0,101827
California,CA,155550,0,0,155550
California,CA,147488,0,0,147488
California,CA,96550,14340,0,110890
California,CA,96550,19938,0,116488
California,CA,109803,0,0,109803
California,CA,96550,19248,0,115798
California,CA,143511,0,0,143511
Colorado,CO,0,0,0,0
Connecticut,CT,0,0,0,0
Delaware,DE,0,0,0,0
Florida,FL,0,130859,-6662,124197
Florida,FL,284278,121833,0,406111
Georgia,GA,0,0,0,0
Hawaii,HI,0,0,0,0
Idaho,ID,0,0,0,0
Illinois,IL,99216,45253,-68327,76142
Indiana,IN,0,0,0,0
Iowa,IA,0,0,0,0
Kansas,KS,0,0,0,0
Kentucky,KY,0,0,0,0
Louisiana,LA,0,0,0,0
Maine,ME,0,0,0,0
Maryland,MD,0,0,0,0
Massachusetts,MA,128202,23761,-97340,54623
Massachusetts,MA,128202,12241,-101314,39129
Massachusetts,MA,128202,31775,-59475,100502
Massachusetts,MA,133260,0,-122605,10655
Michigan,MI,0,0,0,0
Minnesota,MN,0,0,0,0
Mississippi,MS,0,109702,0,109702
Missouri,MO,0,0,0,0
Montana,MT,0,0,0,0
Nebraska,NE,0,0,0,0
Nevada,NV,0,0,0,0
New Hampshire,NH,0,0,0,0
New Jersey,NJ,0,0,0,0
New Mexico,NM,0,0,0,0
New York,NY,98196,0,-48784,49412
New York,NY,96726,7222,-47589,56359
North Carolina,NC,146339,0,0,146339
North Dakota,ND,0,0,0,0
Ohio,OH,0,0,0,0
Oklahoma,OK,0,0,0,0
Oregon,OR,0,0,0,0
Pennsylvania,PA,0,0,0,0
Rhode Island,RI,79367,26640,-65310,40697
South Carolina,SC,0,0,0,0
South Dakota,SD,0,137993,-75748,62245
Tennessee,TN,108066,0,-14,108052
Texas,TX,0,0,0,0
Utah,UT,0,0,0,0
Vermont,VT,0,0,0,0
Virginia,VA,11380,121385,-17423,115342
Washington,WA,123847,0,-51430,72417
West Virginia,WV,0,0,0,0
Wisconsin,WI,0,0,0,0
Wyoming,WY,0,0,0,0
