STATE,XX,REP_V,DEM_V,OTH_V,TOT_V
Alabama,AL,0,56928,-1921,55007
Alabama,AL,0,49431,-39636,9795
Alabama,AL,57294,0,-2212,55082
Alaska,AK,0,0,0,0
Arizona,AZ,52516,68302,-18219,102599
Arizona,AZ,0,55161,-41066,14095
Arkansas,AR,0,64984,-39305,25679
California,CA,0,90486,0,90486
California,CA,55548,0,-41535,14013
California,CA,57603,0,0,57603
California,CA,54766,0,0,54766
California,CA,45443,0,-35010,10433
California,CA,0,48888,0,48888
California,CA,41932,5845,-28268,19509
California,CA,41932,36220,0,78152
California,CA,41932,35586,0,77518
California,CA,41932,48462,0,90394
California,CA,41932,38171,-9192,70911
Colorado,CO,0,0,0,0
Connecticut,CT,0,0,0,0
Delaware,DE,0,0,0,0
Florida,FL,0,76237,-49366,26871
Florida,FL,153782,65907,0,219689
Florida,FL,0,72074,-55404,16670
Florida,FL,65907,153782,0,219689
Florida,FL,65907,387,-575,65719
Florida,FL,153782,65907,0,219689
Florida,FL,153782,65907,0,219689
Georgia,GA,0,66976,0,66976
Georgia,GA,69090,0,-109,68981
Georgia,GA,72997,0,0,72997
Georgia,GA,0,55688,-119,55569
Georgia,GA,0,69228,0,69228
Georgia,GA,68334,0,0,68334
Georgia,GA,6010,53482,0,59492
Hawaii,HI,0,0,0,0
Idaho,ID,0,0,0,0
Illinois,IL,0,0,0,0
Indiana,IN,0,0,0,0
Iowa,IA,0,0,0,0
Kansas,KS,0,0,0,0
Kentucky,KY,0,0,0,0
Louisiana,LA,81431,0,-31564,49867
Louisiana,LA,0,89111,-28342,60769
Louisiana,LA,0,100371,-98688,1683
Maine,ME,0,0,0,0
Maryland,MD,0,0,0,0
Massachusetts,MA,77426,13049,-59463,31012
Massachusetts,MA,77426,11021,-66173,22274
Massachusetts,MA,78925,0,-71139,7786
Massachusetts,MA,78043,0,-74386,3657
Massachusetts,MA,77426,38528,-33944,82010
Massachusetts,MA,85990,0,-61137,24853
Michigan,MI,0,0,0,0
Minnesota,MN,0,0,0,0
Mississippi,MS,47958,10760,-47958,10760
Missouri,MO,0,0,0,0
Montana,MT,0,0,0,0
Nebraska,NE,0,0,0,0
Nevada,NV,0,0,0,0
New Hampshire,NH,0,0,0,0
New Jersey,NJ,0,0,0,0
New Mexico,NM,0,0,0,0
New York,NY,51504,44464,-18688,77280
New York,NY,51504,70949,-28079,94374
New York,NY,51504,49707,-24644,76567
New York,NY,51504,49179,-30609,70074
New York,NY,51504,46231,-39281,58454
New York,NY,51504,56739,-28397,79846
New York,NY,51504,74806,-22002,104308
New York,NY,51504,67048,-8140,110412
New York,NY,51504,30088,-48567,33025
New York,NY,6602,61798,-61798,6602
North Carolina,NC,0,69891,-10588,59303
North Dakota,ND,0,0,0,0
Ohio,OH,0,61697,0,61697
Oklahoma,OK,114347,49006,0,163353
Oregon,OR,0,0,0,0
Pennsylvania,PA,63579,0,0,63579
Pennsylvania,PA,5017,57129,0,62146
Rhode Island,RI,0,0,0,0
South Carolina,SC,3657,52735,-8423,47969
South Carolina,SC,0,54194,-22597,31597
South Dakota,SD,0,0,0,0
Tennessee,TN,0,49514,-23937,25577
Texas,TX,0,48602,-1681,46921
Texas,TX,0,49322,0,49322
Texas,TX,4631,40127,-15264,29494
Texas,TX,0,53600,-14947,38653
Texas,TX,40127,15520,-7894,47753
Texas,TX,0,46260,-11635,34625
Texas,TX,40127,27075,-21410,45792
Texas,TX,0,58140,-53336,4804
Texas,TX,0,50119,-24526,25593
Texas,TX,40127,31121,-13628,57620
Texas,TX,40127,52308,-4822,87613
Texas,TX,40127,588,-12752,27963
Texas,TX,40127,49860,-6823,83164
Utah,UT,0,0,0,0
Vermont,VT,0,0,0,0
Virginia,VA,59656,0,-8205,51451
Virginia,VA,4506,109453,-109453,4506
Virginia,VA,20939,59316,-45350,34905
Washington,WA,0,65605,0,65605
West Virginia,WV,0,0,0,0
Wisconsin,WI,0,0,0,0
Wyoming,WY,0,0,0,0
