STATE,XX,REP_V,DEM_V,OTH_V,TOT_V
Alabama,AL,61292,0,-2540,58752
Alabama,AL,0,70077,-2786,67291
Alabama,AL,57373,0,-1294,56079
Alaska,AK,0,0,0,0
Arizona,AZ,0,65229,-51285,13944
Arkansas,AR,0,0,0,0
California,CA,50571,0,-22486,28085
California,CA,49984,55510,0,105494
California,CA,49984,51678,0,101662
California,CA,49984,40571,-15627,74928
California,CA,49984,2915,0,52899
California,CA,49984,34132,-16008,68108
California,CA,49984,35914,-17246,68652
California,CA,0,55594,0,55594
Colorado,CO,68832,31162,-32825,67169
Connecticut,CT,0,0,0,0
Delaware,DE,0,0,0,0
Florida,FL,59686,139268,0,198954
Florida,FL,59686,139268,0,198954
Florida,FL,14816,59686,-55612,18890
Florida,FL,59686,48605,-23,108268
Florida,FL,59686,139268,0,198954
Florida,FL,59686,139268,0,198954
Florida,FL,59686,139268,0,198954
Georgia,GA,52449,0,0,52449
Hawaii,HI,0,0,0,0
Idaho,ID,0,0,0,0
Illinois,IL,67407,0,-7,67400
Indiana,IN,0,0,0,0
Iowa,IA,0,0,0,0
Kansas,KS,0,0,0,0
Kentucky,KY,68042,0,-27015,41027
Louisiana,LA,0,40568,-19648,20920
Maine,ME,0,0,0,0
Maryland,MD,72049,0,-35209,36840
Maryland,MD,68070,0,-3147,64923
Massachusetts,MA,76456,20341,-61875,34922
Massachusetts,MA,76456,13459,-50000,39915
Massachusetts,MA,76456,11425,-48128,39753
Massachusetts,MA,76456,1885,-50401,27940
Massachusetts,MA,76456,19278,-57712,38022
Massachusetts,MA,76456,6496,-54228,28724
Massachusetts,MA,76456,52883,-33910,95429
Michigan,MI,76459,52097,-15,128541
Michigan,MI,77977,0,-24922,53055
Minnesota,MN,0,0,0,0
Mississippi,MS,0,53752,-36059,17693
Missouri,MO,0,0,0,0
Montana,MT,0,0,0,0
Nebraska,NE,0,0,0,0
Nevada,NV,0,0,0,0
New Hampshire,NH,0,0,0,0
New Jersey,NJ,60047,0,0,60047
New Jersey,NJ,51994,31056,0,83050
New Mexico,NM,0,0,0,0
New York,NY,50149,46982,-48494,48637
New York,NY,50149,47610,-29705,68054
New York,NY,50149,49975,-41023,59101
New York,NY,50149,9920,-46788,13281
New York,NY,91222,12592,-91222,12592
North Carolina,NC,46458,25891,0,72349
North Dakota,ND,0,0,0,0
Ohio,OH,0,0,0,0
Oklahoma,OK,0,0,0,0
Oregon,OR,0,0,0,0
Pennsylvania,PA,65223,14201,-12,79412
Pennsylvania,PA,69032,0,-18326,50706
Rhode Island,RI,60135,0,-52729,7406
South Carolina,SC,9332,77609,-77609,9332
South Carolina,SC,13216,66106,-66106,13216
South Dakota,SD,0,0,0,0
Tennessee,TN,0,0,0,0
Texas,TX,41547,36689,0,78236
Texas,TX,0,45972,0,45972
Texas,TX,41547,35826,-16572,60801
Texas,TX,41547,28594,-9897,60244
Texas,TX,71464,20167,-71464,20167
Texas,TX,41547,28570,0,70117
Utah,UT,0,0,0,0
Vermont,VT,0,0,0,0
Virginia,VA,65847,20096,-5448,80495
Virginia,VA,2675,65847,-47373,21149
Virginia,VA,455,65847,-50808,15494
Washington,WA,0,0,0,0
West Virginia,WV,0,0,0,0
Wisconsin,WI,0,86300,-2190,84110
Wyoming,WY,0,0,0,0
