STATE,XX,REP_V,DEM_V,OTH_V,TOT_V
Alabama,AL,2148,90099,-7810,84437
Alabama,AL,0,101111,-3519,97592
Alabama,AL,98284,0,-3698,94586
Alaska,AK,0,0,0,0
Arizona,AZ,84088,47233,-2062,129259
Arizona,AZ,0,94029,-94029,0
Arkansas,AR,27859,90739,-57181,61417
Arkansas,AR,0,93082,-63715,29367
Arkansas,AR,28840,90739,-61274,58305
California,CA,117444,0,-64810,52634
California,CA,99939,0,0,99939
California,CA,79056,12639,0,91695
California,CA,79991,0,0,79991
California,CA,79056,25307,0,104363
California,CA,101688,0,0,101688
California,CA,79056,77909,-42743,114222
California,CA,79056,6050,0,85106
California,CA,79056,19870,0,98926
Colorado,CO,0,0,0,0
Connecticut,CT,0,0,0,0
Delaware,DE,0,0,0,0
Florida,FL,101970,237931,0,339901
Georgia,GA,0,90104,-869,89235
Georgia,GA,0,109944,0,109944
Georgia,GA,0,104454,-1096,103358
Georgia,GA,108357,0,0,108357
Georgia,GA,0,92890,0,92890
Hawaiʻi,HI,0,0,0,0
Idaho,ID,0,0,0,0
Illinois,IL,96566,0,-91,96475
Illinois,IL,92371,44236,0,136607
Illinois,IL,0,117666,0,117666
Illinois,IL,0,111309,-131,111178
Indiana,IN,90142,2816,-47068,45890
Iowa,IA,0,0,0,0
Kansas,KS,43686,91576,-87979,47283
Kentucky,KY,0,107925,0,107925
Kentucky,KY,4912,96923,0,101835
Louisiana,LA,121830,0,0,121830
Louisiana,LA,0,109569,0,109569
Maine,ME,0,0,0,0
Maryland,MD,0,0,0,0
Massachusetts,MA,116631,36336,-113873,39094
Massachusetts,MA,118066,0,-87710,30356
Massachusetts,MA,122403,0,-99849,22554
Massachusetts,MA,132396,0,-106826,25570
Massachusetts,MA,116631,18785,-56291,79125
Michigan,MI,0,0,0,0
Minnesota,MN,69278,196545,-196545,69278
Minnesota,MN,20173,170382,-170382,20173
Minnesota,MN,7863,123545,-123545,7863
Mississippi,MS,0,0,0,0
Missouri,MO,0,0,0,0
Montana,MT,0,0,0,0
Nebraska,NE,0,97166,0,97166
Nevada,NV,0,0,0,0
New Hampshire,NH,0,0,0,0
New Jersey,NJ,0,0,0,0
New Mexico,NM,0,0,0,0
New York,NY,0,0,0,0
New York,NY,87101,0,-54367,32734
New York,NY,87036,4199,-57967,33268
New York,NY,88745,4274,-88745,4274
New York,NY,131752,9266,-131752,9266
North Carolina,NC,0,0,0,0
North Dakota,ND,7072,104479,-104479,7072
Ohio,OH,0,0,0,0
Oklahoma,OK,198318,84993,0,283311
Oregon,OR,117723,0,-107668,10055
Pennsylvania,PA,0,104954,0,104954
Pennsylvania,PA,102564,0,0,102564
Pennsylvania,PA,0,125865,0,125865
Rhode Island,RI,0,0,0,0
South Carolina,SC,0,0,0,0
South Dakota,SD,0,0,0,0
Tennessee,TN,0,0,0,0
Texas,TX,0,92847,-29577,63270
Texas,TX,16627,73755,-37406,52976
Texas,TX,0,101305,0,101305
Texas,TX,0,86516,-23677,62839
Texas,TX,0,85307,-22192,63115
Texas,TX,73755,21868,-25001,70622
Texas,TX,0,75563,-27161,48402
Texas,TX,73755,22456,-38029,58182
Texas,TX,9228,73755,-66303,16680
Texas,TX,0,83004,-24890,58114
Utah,UT,0,0,0,0
Vermont,VT,0,0,0,0
Virginia,VA,106208,0,-34185,72023
Washington,WA,0,98537,0,98537
Washington,WA,162323,0,0,162323
West Virginia,WV,0,0,0,0
Wisconsin,WI,111319,2344,-2969,110694
Wisconsin,WI,111319,39564,-66728,84155
Wyoming,WY,0,0,0,0
