STATE,XX,REP_V,DEM_V,OTH_V,TOT_V
Alabama,AL,5804,86648,-4302,88150
Alaska,AK,0,0,0,0
Arizona,AZ,76706,74491,-23338,127859
Arkansas,AR,0,79914,-59193,20721
California,CA,0,76990,0,76990
California,CA,107330,0,-38146,69184
California,CA,99015,0,0,99015
California,CA,8750,71533,-57842,22441
California,CA,71533,55624,-38994,88163
California,CA,106222,0,0,106222
California,CA,5692,71533,0,77225
California,CA,146660,0,-146660,0
California,CA,71533,24231,0,95764
California,CA,71533,41358,0,112891
California,CA,86097,0,0,86097
California,CA,71533,1013,0,72546
Colorado,CO,50408,107592,-107592,50408
Connecticut,CT,0,0,0,0
Delaware,DE,0,0,0,0
Florida,FL,0,102852,-75482,27370
Florida,FL,215638,92416,0,308054
Florida,FL,92416,911,-29558,63769
Florida,FL,94827,0,-63137,31690
Florida,FL,92416,215638,0,308054
Florida,FL,64172,92416,-48763,107825
Georgia,GA,0,99591,0,99591
Georgia,GA,0,84767,0,84767
Georgia,GA,0,90456,0,90456
Hawaii,HI,0,0,0,0
Idaho,ID,0,0,0,0
Illinois,IL,0,0,0,0
Indiana,IN,0,0,0,0
Iowa,IA,0,0,0,0
Kansas,KS,0,90573,0,90573
Kansas,KS,0,92675,-92675,0
Kentucky,KY,0,0,0,0
Louisiana,LA,19576,88916,-61637,46855
Louisiana,LA,4934,88916,-57680,36170
Louisiana,LA,0,104380,-63160,41220
Maine,ME,0,0,0,0
Maryland,MD,0,0,0,0
Massachusetts,MA,112258,0,-74619,37639
Massachusetts,MA,111110,0,-83479,27631
Massachusetts,MA,110988,48179,-74340,84827
Michigan,MI,0,0,0,0
Minnesota,MN,0,0,0,0
Mississippi,MS,0,100593,-58605,41988
Missouri,MO,0,0,0,0
Montana,MT,0,0,0,0
Nebraska,NE,0,0,0,0
Nevada,NV,0,0,0,0
New Hampshire,NH,0,0,0,0
New Jersey,NJ,0,0,0,0
New Mexico,NM,0,0,0,0
New York,NY,80048,54323,-46369,88002
North Carolina,NC,0,0,0,0
North Dakota,ND,0,0,0,0
Ohio,OH,0,105591,-1938,103653
Ohio,OH,110725,0,0,110725
Oklahoma,OK,0,0,0,0
Oregon,OR,8983,104212,-104212,8983
Oregon,OR,147222,24160,-147222,24160
Pennsylvania,PA,0,0,0,0
Rhode Island,RI,0,0,0,0
South Carolina,SC,0,84050,-7602,76448
South Carolina,SC,93736,0,-14898,78838
South Dakota,SD,0,0,0,0
Tennessee,TN,0,79021,-56858,22163
Texas,TX,0,80220,0,80220
Texas,TX,0,80475,-18613,61862
Texas,TX,10348,65842,-35978,40212
Texas,TX,0,69960,-28824,41136
Texas,TX,65842,67579,-9558,123863
Utah,UT,0,0,0,0
Vermont,VT,0,0,0,0
Virginia,VA,0,0,0,0
Washington,WA,0,0,0,0
West Virginia,WV,0,0,0,0
Wisconsin,WI,0,0,0,0
Wyoming,WY,0,0,0,0
