STATE,XX,REP_V,DEM_V,OTH_V,TOT_V
Alabama,AL,0,59874,-21396,38478
Alabama,AL,0,76359,-20175,56184
Alabama,AL,65886,0,-12574,53312
Alaska,AK,0,0,0,0
Arizona,AZ,0,0,0,0
Arkansas,AR,61179,0,-10874,50305
Arkansas,AR,0,60633,-1577,59056
California,CA,54167,0,-40807,13360
California,CA,1055,40992,-27903,14144
Colorado,CO,0,0,0,0
Connecticut,CT,0,0,0,0
Delaware,DE,0,0,0,0
Florida,FL,0,73351,-509,72842
Florida,FL,142526,61083,0,203609
Florida,FL,61083,142526,0,203609
Florida,FL,142526,61083,0,203609
Florida,FL,142526,61083,0,203609
Florida,FL,0,75502,-47169,28333
Florida,FL,61083,28777,-73,89787
Florida,FL,61083,142526,0,203609
Florida,FL,142526,61083,0,203609
Georgia,GA,47115,7009,0,54124
Georgia,GA,49825,0,0,49825
Georgia,GA,0,55389,0,55389
Hawaii,HI,0,0,0,0
Idaho,ID,0,0,0,0
Illinois,IL,66875,0,0,66875
Illinois,IL,0,82529,0,82529
Indiana,IN,0,0,0,0
Iowa,IA,0,0,0,0
Kansas,KS,0,81418,-18585,62833
Kentucky,KY,15076,56013,-45066,26023
Louisiana,LA,0,74835,-5956,68879
Louisiana,LA,0,55853,-20019,35834
Louisiana,LA,0,62971,-27898,35073
Louisiana,LA,59425,0,-21051,38374
Maine,ME,0,0,0,0
Maryland,MD,0,0,0,0
Massachusetts,MA,71335,13061,-55111,29285
Massachusetts,MA,71335,10751,-56607,25479
Massachusetts,MA,71335,323,-55084,16574
Massachusetts,MA,73272,0,-65045,8227
Massachusetts,MA,71335,54587,-43443,82479
Massachusetts,MA,72024,0,-67811,4213
Michigan,MI,68018,0,-14630,53388
Michigan,MI,63476,27241,-11072,79645
Minnesota,MN,0,0,0,0
Mississippi,MS,0,0,0,0
Missouri,MO,0,0,0,0
Montana,MT,0,0,0,0
Nebraska,NE,0,57006,-22831,34175
Nebraska,NE,0,70260,-12017,58243
Nevada,NV,0,0,0,0
New Hampshire,NH,0,0,0,0
New Jersey,NJ,52220,0,-9543,42677
New Mexico,NM,52680,0,0,52680
New York,NY,63968,48218,-63968,48218
New York,NY,50139,48273,-43100,55312
New York,NY,50139,44678,-45258,49559
New York,NY,50139,73182,-40956,82365
New York,NY,94622,21595,-94622,21595
New York,NY,6949,74571,-74571,6949
New York,NY,8974,94615,-94615,8974
North Carolina,NC,0,56335,-13486,42849
North Carolina,NC,0,64899,-16067,48832
North Dakota,ND,0,0,0,0
Ohio,OH,0,53805,0,53805
Oklahoma,OK,0,63517,-47884,15633
Oregon,OR,0,0,0,0
Pennsylvania,PA,14485,56249,-33566,37168
Pennsylvania,PA,6306,56249,-18269,44286
Pennsylvania,PA,0,65150,-12142,53008
Pennsylvania,PA,56249,7925,-89,64085
Pennsylvania,PA,12202,56249,-15551,52900
Pennsylvania,PA,0,61327,-14048,47279
Rhode Island,RI,0,0,0,0
South Carolina,SC,0,54669,-14863,39806
South Carolina,SC,0,61778,-27210,34568
South Carolina,SC,52866,1442,-20060,34248
South Dakota,SD,0,0,0,0
Tennessee,TN,0,54557,-1586,52971
Tennessee,TN,53839,4720,-23356,35203
Texas,TX,5905,44014,-11732,38187
Texas,TX,0,60246,-10351,49895
Texas,TX,49041,0,-21196,27845
Texas,TX,0,51946,-10723,41223
Texas,TX,44014,36389,0,80403
Texas,TX,44014,30317,0,74331
Texas,TX,0,50182,-10684,39498
Texas,TX,44014,34015,0,78029
Texas,TX,44014,46940,-2833,88121
Utah,UT,0,0,0,0
Vermont,VT,0,0,0,0
Virginia,VA,112,48549,-4829,43832
Virginia,VA,9473,48549,-21039,36983
Virginia,VA,48549,25759,-3552,70756
Virginia,VA,4547,48549,-2308,50788
Virginia,VA,7750,48549,-3202,53097
Virginia,VA,52108,13205,-52108,13205
Virginia,VA,0,58020,-27919,30101
Washington,WA,0,0,0,0
West Virginia,WV,47546,0,-320,47226
Wisconsin,WI,66180,32390,-19336,79234
Wisconsin,WI,0,81953,-30788,51165
Wisconsin,WI,0,72786,-1327,71459
Wyoming,WY,0,0,0,0
