STATE,XX,REP_V,DEM_V,OTH_V,TOT_V
Alabama,AL,0,113494,-3224,110270
Alaska,AK,0,0,0,0
Arizona,AZ,0,77577,-44962,32615
Arizona,AZ,0,86949,-52695,34254
Arkansas,AR,79124,184623,0,263747
California,CA,0,89736,0,89736
California,CA,67188,37629,-21002,83815
California,CA,71486,0,-21513,49973
California,CA,67188,39922,0,107110
California,CA,0,77831,-37332,40499
Colorado,CO,0,0,0,0
Connecticut,CT,0,0,0,0
Delaware,DE,0,0,0,0
Florida,FL,92306,42547,-1323,133530
Florida,FL,0,109782,-1170,108612
Florida,FL,215380,92306,0,307686
Florida,FL,0,121729,-243,121486
Florida,FL,92306,23600,-31701,84205
Florida,FL,92306,36690,-734,128262
Florida,FL,92306,215380,0,307686
Florida,FL,68873,92306,-54736,106443
Florida,FL,92306,215380,0,307686
Florida,FL,215380,92306,0,307686
Florida,FL,215380,92306,0,307686
Georgia,GA,0,80720,0,80720
Georgia,GA,86474,0,0,86474
Georgia,GA,0,114661,-77,114584
Georgia,GA,0,110992,0,110992
Georgia,GA,0,93915,0,93915
Georgia,GA,73139,0,0,73139
Hawaiʻi,HI,0,0,0,0
Idaho,ID,0,0,0,0
Illinois,IL,88944,0,-26990,61954
Indiana,IN,0,0,0,0
Iowa,IA,0,0,0,0
Kansas,KS,0,102761,-24517,78244
Kentucky,KY,26494,87460,0,113954
Louisiana,LA,146838,62931,0,209769
Maine,ME,0,0,0,0
Maryland,MD,0,0,0,0
Massachusetts,MA,98342,0,-65743,32599
Massachusetts,MA,93292,0,-70189,23103
Massachusetts,MA,93969,0,-80523,13446
Massachusetts,MA,91858,48483,-49948,90393
Massachusetts,MA,93500,0,-79659,13841
Michigan,MI,0,0,0,0
Minnesota,MN,0,0,0,0
Mississippi,MS,0,93998,-58256,35742
Mississippi,MS,0,100660,-58494,42166
Missouri,MO,0,0,0,0
Montana,MT,0,0,0,0
Nebraska,NE,0,0,0,0
Nevada,NV,0,0,0,0
New Hampshire,NH,0,0,0,0
New Jersey,NJ,78097,26530,-5016,99611
New Mexico,NM,0,0,0,0
New York,NY,77826,56468,-59830,74464
New York,NY,77826,47420,-67852,57394
New York,NY,26432,160717,-160717,26432
North Carolina,NC,0,0,0,0
North Dakota,ND,0,0,0,0
Ohio,OH,95932,0,-145,95787
Ohio,OH,95302,0,0,95302
Oklahoma,OK,0,92361,-46621,45740
Oklahoma,OK,894,85662,-56869,29687
Oregon,OR,0,0,0,0
Pennsylvania,PA,15763,89406,-26239,78930
Pennsylvania,PA,16648,89406,-14805,91249
Pennsylvania,PA,89406,37468,-10105,116769
Pennsylvania,PA,89406,4111,0,93517
Pennsylvania,PA,94345,0,0,94345
Pennsylvania,PA,0,96117,-20820,75297
Rhode Island,RI,0,0,0,0
South Carolina,SC,0,79906,-25860,54046
South Carolina,SC,0,81879,-947,80932
South Dakota,SD,0,0,0,0
Tennessee,TN,0,99602,0,99602
Texas,TX,0,77185,-30253,46932
Texas,TX,0,78048,-49530,28518
Texas,TX,0,81192,-15793,65399
Texas,TX,0,74429,0,74429
Texas,TX,68955,24877,-16970,76862
Texas,TX,68955,82639,-4868,146726
Texas,TX,68955,16382,-10821,74516
Utah,UT,0,0,0,0
Vermont,VT,0,0,0,0
Virginia,VA,0,96459,-61463,34996
Virginia,VA,0,88526,-7088,81438
Virginia,VA,0,98899,-74893,24006
Washington,WA,0,0,0,0
West Virginia,WV,0,0,0,0
Wisconsin,WI,108851,12680,-40446,81085
Wyoming,WY,0,0,0,0
