STATE,XX,REP_V,DEM_V,OTH_V,TOT_V
Alabama,AL,79290,0,-4153,75137
Alaska,AK,0,0,0,0
Arizona,AZ,82845,80262,-19007,144100
Arkansas,AR,0,0,0,0
California,CA,88226,0,-55158,33068
California,CA,86545,0,0,86545
California,CA,0,73194,0,73194
California,CA,111677,0,-34257,77420
California,CA,78719,0,-42044,36675
California,CA,86844,0,0,86844
California,CA,70983,55433,-41711,84705
California,CA,70983,71690,-27511,115162
California,CA,70983,22306,0,93289
Colorado,CO,0,0,0,0
Connecticut,CT,0,0,0,0
Delaware,DE,0,0,0,0
Florida,FL,92982,216957,0,309939
Florida,FL,92982,216957,0,309939
Florida,FL,92982,14298,-165,107115
Florida,FL,92982,216957,0,309939
Florida,FL,92982,216957,0,309939
Georgia,GA,118031,0,0,118031
Georgia,GA,0,84922,-564,84358
Hawaii,HI,0,0,0,0
Idaho,ID,0,0,0,0
Illinois,IL,0,0,0,0
Indiana,IN,0,0,0,0
Iowa,IA,0,0,0,0
Kansas,KS,0,0,0,0
Kentucky,KY,0,0,0,0
Louisiana,LA,81507,0,-45800,35707
Maine,ME,0,0,0,0
Maryland,MD,0,0,0,0
Massachusetts,MA,94723,9230,-63276,40677
Massachusetts,MA,105124,0,-76838,28286
Massachusetts,MA,94723,4463,-32818,66368
Massachusetts,MA,111068,0,-68221,42847
Michigan,MI,91348,47790,-30944,108194
Minnesota,MN,0,0,0,0
Mississippi,MS,71752,8501,-62458,17795
Missouri,MO,0,0,0,0
Montana,MT,0,0,0,0
Nebraska,NE,0,0,0,0
Nevada,NV,0,0,0,0
New Hampshire,NH,0,0,0,0
New Jersey,NJ,0,0,0,0
New Mexico,NM,0,0,0,0
New York,NY,73161,10210,-25825,57546
New York,NY,73161,66417,-45247,94331
New York,NY,73161,36585,-30710,79036
New York,NY,73221,0,-33918,39303
New York,NY,74064,0,-35029,39035
New York,NY,73161,10787,-56349,27599
North Carolina,NC,9453,84580,0,94033
North Dakota,ND,0,0,0,0
Ohio,OH,0,0,0,0
Oklahoma,OK,0,0,0,0
Oregon,OR,0,0,0,0
Pennsylvania,PA,99202,0,0,99202
Rhode Island,RI,0,0,0,0
South Carolina,SC,0,0,0,0
South Dakota,SD,0,0,0,0
Tennessee,TN,0,0,0,0
Texas,TX,70830,29014,-16745,83099
Texas,TX,70830,26232,-32925,64137
Texas,TX,70830,47776,-21732,96874
Texas,TX,71479,0,-16390,55089
Utah,UT,0,0,0,0
Vermont,VT,0,0,0,0
Virginia,VA,92857,18051,-19107,91801
Washington,WA,93246,7386,-84646,15986
Washington,WA,103100,0,0,103100
West Virginia,WV,0,0,0,0
Wisconsin,WI,132478,0,-8179,124299
Wyoming,WY,0,0,0,0
