STATE,XX,DISTRICT,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S
Alabama,AL,1st,196374,0,4302,200676,1,0,0
Alaska,AK,n/a,0,0,0,0,0,0,0
Arizona,AZ,7th,0,104489,23338,127827,0,1,0
Arkansas,AR,3rd,186467,0,59193,245660,1,0,0
California,CA,8th,179644,0,0,179644,1,0,0
California,CA,13th,0,250436,38146,288582,0,1,0
California,CA,15th,0,231034,0,231034,0,1,0
California,CA,23rd,158161,0,57842,216003,1,0,0
California,CA,29th,0,111287,38994,150281,0,1,0
California,CA,30th,0,247851,0,247851,0,1,0
California,CA,31st,161219,0,0,161219,1,0,0
California,CA,33rd,0,171860,146660,318520,0,1,0
California,CA,35th,0,142680,0,142680,0,1,0
California,CA,40th,0,125553,0,125553,0,1,0
California,CA,43rd,0,200894,0,200894,0,1,0
California,CA,44th,0,165898,0,165898,0,1,0
Colorado,CO,5th,199639,0,107592,307231,1,0,0
Connecticut,CT,n/a,0,0,0,0,0,0,0
Delaware,DE,n/a,0,0,0,0,0,0,0
Florida,FL,4th,239988,0,75482,315470,1,0,0
Florida,FL,15th, , , , ,1,0,0
Florida,FL,20th,0,214727,29558,244285,0,1,0
Florida,FL,21st,0,221263,63137,284400,0,1,0
Florida,FL,24th, , , , ,0,1,0
Florida,FL,25th,151466,0,48763,200229,1,0,0
Georgia,GA,3rd,232380,0,0,232380,1,0,0
Georgia,GA,8th,197789,0,0,197789,1,0,0
Georgia,GA,10th,211065,0,0,211065,1,0,0
Hawaii,HI,n/a,0,0,0,0,0,0,0
Idaho,ID,n/a,0,0,0,0,0,0,0
Illinois,IL,n/a,0,0,0,0,0,0,0
Indiana,IN,n/a,0,0,0,0,0,0,0
Iowa,IA,n/a,0,0,0,0,0,0,0
Kansas,KS,1st,211337,0,0,211337,1,0,0
Kansas,KS,3rd,201087,0,92675,293762,1,0,0
Kentucky,KY,n/a,0,0,0,0,0,0,0
Louisiana,LA,4th,187894,0,61637,249531,1,0,0
Louisiana,LA,5th,202536,0,57680,260216,1,0,0
Louisiana,LA,6th,243553,0,63160,306713,1,0,0
Maine,ME,n/a,0,0,0,0,0,0,0
Maryland,MD,n/a,0,0,0,0,0,0,0
Massachusetts,MA,1st,0,261936,74619,336555,0,1,0
Massachusetts,MA,2nd,0,259257,83479,342736,0,1,0
Massachusetts,MA,7th,0,210794,74340,285134,0,1,0
Michigan,MI,n/a,0,0,0,0,0,0,0
Minnesota,MN,n/a,0,0,0,0,0,0,0
Mississippi,MS,3rd,234717,0,58605,293322,1,0,0
Missouri,MO,n/a,0,0,0,0,0,0,0
Montana,MT,n/a,0,0,0,0,0,0,0
Nebraska,NE,n/a,0,0,0,0,0,0,0
Nevada,NV,n/a,0,0,0,0,0,0,0
New Hampshire,NH,n/a,0,0,0,0,0,0,0
New Jersey,NJ,n/a,0,0,0,0,0,0,0
New Mexico,NM,n/a,0,0,0,0,0,0,0
New York,NY,7th,0,132456,46369,178825,0,1,0
North Carolina,NC,n/a,0,0,0,0,0,0,0
North Dakota,ND,n/a,0,0,0,0,0,0,0
Ohio,OH,8th,246378,0,1938,248316,1,0,0
Ohio,OH,11th,0,258359,0,258359,0,1,0
Oklahoma,OK,n/a,0,0,0,0,0,0,0
Oregon,OR,2nd,228043,0,104212,332255,1,0,0
Oregon,OR,4th,0,212866,147222,360088,0,1,0
Pennsylvania,PA,n/a,0,0,0,0,0,0,0
Rhode Island,RI,n/a,0,0,0,0,0,0,0
South Carolina,SC,2nd,196116,0,7602,203718,1,0,0
South Carolina,SC,6th,0,218717,14898,233615,0,1,0
South Dakota,SD,n/a,0,0,0,0,0,0,0
Tennessee,TN,6th,184383,0,56858,241241,1,0,0
Texas,TX,3rd,187180,0,0,187180,1,0,0
Texas,TX,13th,187775,0,18613,206388,1,0,0
Texas,TX,17th,143284,0,35978,179262,1,0,0
Texas,TX,19th,163239,0,28824,192063,1,0,0
Texas,TX,29th,0,86053,9558,95611,0,1,0
Utah,UT,n/a,0,0,0,0,0,0,0
Vermont,VT,n/a,0,0,0,0,0,0,0
Virginia,VA,n/a,0,0,0,0,0,0,0
Washington,WA,n/a,0,0,0,0,0,0,0
West Virginia,WV,n/a,0,0,0,0,0,0,0
Wisconsin,WI,n/a,0,0,0,0,0,0,0
Wyoming,WY,n/a,0,0,0,0,0,0,0
