STATE,XX,DISTRICT,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S
Alabama,AL,1st,151188,0,14481,165669,1,0,0
Alabama,AL,3rd,147317,0,22202,169519,1,0,0
Alabama,AL,5th,0,186059,23455,209514,0,1,0
Alabama,AL,6th,212751,0,29166,241917,1,0,0
Alaska,AK,n/a,0,0,0,0,0,0,0
Arizona,AZ,n/a,0,0,0,0,0,0,0
Arkansas,AR,3rd, , , , ,1,0,0
California,CA,26th,0,96500,18281,114781,0,1,0
California,CA,31st,0,89600,23314,112914,0,1,0
California,CA,40th,151069,0,37953,189022,1,0,0
California,CA,43rd,140201,0,50131,190332,1,0,0
Colorado,CO,4th,209078,0,53928,263006,1,0,0
Colorado,CO,5th,253330,0,52979,306309,1,0,0
Connecticut,CT,n/a,0,0,0,0,0,0,0
Delaware,DE,n/a,0,0,0,0,0,0,0
Florida,FL,1st,226473,0,1066,227539,1,0,0
Florida,FL,6th,178789,0,31,178820,1,0,0
Florida,FL,9th,210318,0,46476,256794,1,0,0
Florida,FL,10th,146799,0,47204,194003,1,0,0
Florida,FL,11th,0,149465,27218,176683,0,1,0
Florida,FL,14th,242614,0,42001,284615,1,0,0
Florida,FL,17th,0,100715,3,100718,0,1,0
Florida,FL,18th,112968,0,23,112991,1,0,0
Florida,FL,20th,0,156765,187,156952,0,1,0
Florida,FL,21st,132317,0,25,132342,1,0,0
Georgia,GA,11th,199652,0,0,199652,1,0,0
Hawaiʻi,HI,n/a,0,0,0,0,0,0,0
Idaho,ID,n/a,0,0,0,0,0,0,0
Illinois,IL,4th,0,89487,11476,100963,0,1,0
Illinois,IL,5th,0,142161,20728,162889,0,1,0
Illinois,IL,12th,0,183208,49,183257,0,1,0
Indiana,IN,n/a,0,0,0,0,0,0,0
Iowa,IA,n/a,0,0,0,0,0,0,0
Kansas,KS,n/a,0,0,0,0,0,0,0
Kentucky,KY,1st,214328,0,25581,239909,1,0,0
Louisiana,LA,2nd, , , , ,0,1,0
Louisiana,LA,3rd,143446,0,-59486,83960,1,0,0
Louisiana,LA,7th,0,152796,30687,183483,0,1,0
Maine,ME,n/a,0,0,0,0,0,0,0
Maryland,MD,n/a,0,0,0,0,0,0,0
Massachusetts,MA,2nd,0,196670,57197,253867,0,1,0
Massachusetts,MA,3rd,0,213065,65505,278570,0,1,0
Massachusetts,MA,7th,0,211543,68422,279965,0,1,0
Massachusetts,MA,8th,0,144031,58692,202723,0,1,0
Michigan,MI,n/a,0,0,0,0,0,0,0
Minnesota,MN,n/a,0,0,0,0,0,0,0
Mississippi,MS,n/a,0,0,0,0,0,0,0
Missouri,MO,n/a,0,0,0,0,0,0,0
Montana,MT,n/a,0,0,0,0,0,0,0
Nebraska,NE,n/a,0,0,0,0,0,0,0
Nevada,NV,n/a,0,0,0,0,0,0,0
New Hampshire,NH,n/a,0,0,0,0,0,0,0
New Jersey,NJ,n/a,0,0,0,0,0,0,0
New Mexico,NM,n/a,0,0,0,0,0,0,0
New York,NY,6th,0,117194,58428,175622,0,1,0
North Carolina,NC,6th,172489,0,13366,185855,1,0,0
North Carolina,NC,7th,195727,0,19358,215085,1,0,0
North Dakota,ND,n/a,0,0,0,0,0,0,0
Ohio,OH,3rd,0,177731,36516,214247,0,1,0
Oklahoma,OK,3rd,137826,0,21390,159216,1,0,0
Oregon,OR,n/a,0,0,0,0,0,0,0
Pennsylvania,PA,2nd,0,180021,3673,183694,0,1,0
Pennsylvania,PA,5th,147570,0,24877,172447,1,0,0
Pennsylvania,PA,9th,184401,0,0,184401,1,0,0
Pennsylvania,PA,14th,0,147533,0,147533,0,1,0
Rhode Island,RI,n/a,0,0,0,0,0,0,0
South Carolina,SC,4th,150436,0,38615,189051,1,0,0
South Dakota,SD,n/a,0,0,0,0,0,0,0
Tennessee,TN,1st,157828,0,20,157848,1,0,0
Tennessee,TN,2nd,187154,0,22331,209485,1,0,0
Tennessee,TN,9th,143298,0,36,143334,0,1,0
Texas,TX,2nd,0,162891,15939,178830,0,1,0
Texas,TX,6th,222685,0,30056,252741,1,0,0
Texas,TX,8th,233848,0,21368,255216,1,0,0
Texas,TX,10th,0,203628,37203,240831,0,1,0
Texas,TX,15th,0,106570,13878,120448,0,1,0
Texas,TX,19th,170319,0,15579,185898,1,0,0
Texas,TX,20th,0,107487,15087,122574,0,1,0
Texas,TX,28th,0,123104,15156,138260,0,1,0
Texas,TX,30th,0,109163,9798,118961,0,1,0
Utah,UT,n/a,0,0,0,0,0,0,0
Vermont,VT,n/a,0,0,0,0,0,0,0
Virginia,VA,3rd,0,137527,3226,140753,0,1,0
Virginia,VA,4th,0,189787,2108,191895,0,1,0
Virginia,VA,5th,0,0,0,0,0,0,0
Virginia,VA,6th,153338,0,1145,154483,1,0,0
Virginia,VA,10th,238817,0,44820,283637,1,0,0
Washington,WA,7th,0,193470,72339,265809,0,1,0
West Virginia,WV,1st,0,170974,23797,194771,0,1,0
West Virginia,WV,3rd,0,146807,13979,160786,0,1,0
Wisconsin,WI,n/a,0,0,0,0,0,0,0
Wyoming,WY,n/a,0,0,0,0,0,0,0
