STATE,XX,DISTRICT,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S
Alabama,AL,5th,253094,0,11066,264160,1,0,0
Alabama,AL,6th,274160,0,8101,282261,1,0,0
Alabama,AL,7th,0,225742,6589,232331,0,1,0
Alaska,AK,n/a,0,0,0,0,0,0,0
Arizona,AZ,n/a,0,0,0,0,0,0,0
Arkansas,AR,n/a,237596,0,0,237596,1,0,0
California,CA,12th,0,362950,0,362950,0,1,0
California,CA,18th,0,344139,0,344139,0,1,0
California,CA,29th,0,210944,0,210944,0,1,0
California,CA,34th,0,205346,0,205346,0,1,0
California,CA,38th,0,256206,0,256206,0,1,0
California,CA,44th,0,206036,0,206036,0,1,0
California,CA,53rd,0,334858,0,334858,0,1,0
Colorado,CO,n/a,0,0,0,0,0,0,0
Connecticut,CT,n/a,0,0,0,0,0,0,0
Delaware,DE,n/a,0,0,0,0,0,0,0
Florida,FL,2nd,305337,0,6662,311999,1,0,0
Florida,FL,25th,0,0,0,0,1,0,0
Georgia,GA,n/a,0,0,0,0,0,0,0
Hawaii,HI,n/a,0,0,0,0,0,0,0
Idaho,ID,n/a,0,0,0,0,0,0,0
Illinois,IL,8th,0,186251,68327,254578,0,1,0
Indiana,IN,n/a,0,0,0,0,0,0,0
Iowa,IA,n/a,0,0,0,0,0,0,0
Kansas,KS,n/a,0,0,0,0,0,0,0
Kentucky,KY,n/a,0,0,0,0,0,0,0
Louisiana,LA,n/a,0,0,0,0,0,0,0
Maine,ME,n/a,0,0,0,0,0,0,0
Maryland,MD,n/a,0,0,0,0,0,0,0
Massachusetts,MA,1st,0,275376,97340,372716,0,1,0
Massachusetts,MA,3rd,0,286896,101314,388210,0,1,0
Massachusetts,MA,7th,0,267362,59475,326837,0,1,0
Massachusetts,MA,8th,0,310940,122605,433545,0,1,0
Michigan,MI,n/a,0,0,0,0,0,0,0
Minnesota,MN,n/a,0,0,0,0,0,0,0
Mississippi,MS,4th,255971,0,0,255971,1,0,0
Missouri,MO,n/a,0,0,0,0,0,0,0
Montana,MT,n/a,0,0,0,0,0,0,0
Nebraska,NE,n/a,0,0,0,0,0,0,0
Nevada,NV,n/a,0,0,0,0,0,0,0
New Hampshire,NH,n/a,0,0,0,0,0,0,0
New Jersey,NJ,n/a,0,0,0,0,0,0,0
New Mexico,NM,n/a,0,0,0,0,0,0,0
New York,NY,5th,0,229125,48784,277909,0,1,0
New York,NY,16th,0,218471,47589,266060,0,1,0
North Carolina,NC,12th,0,341457,0,341457,0,1,0
North Dakota,ND,n/a,0,0,0,0,0,0,0
Ohio,OH,n/a,0,0,0,0,0,0,0
Oklahoma,OK,n/a,0,0,0,0,0,0,0
Oregon,OR,n/a,0,0,0,0,0,0,0
Pennsylvania,PA,n/a,0,0,0,0,0,0,0
Rhode Island,RI,1st,0,158550,65310,223860,0,1,0
South Carolina,SC,n/a,0,0,0,0,0,0,0
South Dakota,SD,At-large,321984,0,75748,397732,1,0,0
Tennessee,TN,5th,0,252155,14,252169,0,1,0
Texas,TX,n/a,0,0,0,0,0,0,0
Utah,UT,n/a,0,0,0,0,0,0,0
Vermont,VT,n/a,0,0,0,0,0,0,0
Virginia,VA,9th,271851,0,17423,289274,1,0,0
Washington,WA,10th,0,288977,51430,340407,0,1,0
West Virginia,WV,n/a,0,0,0,0,0,0,0
Wisconsin,WI,n/a,0,0,0,0,0,0,0
Wyoming,WY,n/a,0,0,0,0,0,0,0
