STATE,XX,DISTRICT,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S
Alabama,AL,7th,0,185010,4153,189163,0,1,0
Alaska,AK,n/a,0,0,0,0,0,0,0
Arizona,AZ,7th,0,113044,19007,132051,0,1,0
Arkansas,AR,n/a,0,0,0,0,0,0,0
California,CA,5th,0,205860,55158,261018,0,1,0
California,CA,6th,0,201939,0,201939,0,1,0
California,CA,8th,170785,0,0,170785,1,0,0
California,CA,13th,0,260580,34257,294837,0,1,0
California,CA,20th,0,183677,42044,225721,0,1,0
California,CA,27th,0,202636,0,202636,0,1,0
California,CA,34th,0,110195,41711,151906,0,1,0
California,CA,40th,0,93938,27511,121449,0,1,0
California,CA,44th,0,143322,0,143322,0,1,0
Colorado,CO,n/a,0,0,0,0,0,0,0
Connecticut,CT,n/a,0,0,0,0,0,0,0
Delaware,DE,n/a,0,0,0,0,0,0,0
Florida,FL,10th,,,,,0,1,0
Florida,FL,14th,,,,,0,1,0
Florida,FL,20th,0,202659,165,202824,0,1,0
Florida,FL,21st,,,,,0,1,0
Florida,FL,24th,,,,,0,1,0
Georgia,GA,5th,0,275406,0,275406,0,1,0
Georgia,GA,8th,198152,0,564,198716,1,0,0
Hawaii,HI,n/a,0,0,0,0,0,0,0
Idaho,ID,n/a,0,0,0,0,0,0,0
Illinois,IL,n/a,0,0,0,0,0,0,0
Indiana,IN,n/a,0,0,0,0,0,0,0
Iowa,IA,n/a,0,0,0,0,0,0,0
Kansas,KS,n/a,0,0,0,0,0,0,0
Kentucky,KY,n/a,0,0,0,0,0,0,0
Louisiana,LA,2nd,0,190182,45800,235982,0,1,0
Maine,ME,n/a,0,0,0,0,0,0,0
Maryland,MD,n/a,0,0,0,0,0,0,0
Massachusetts,MA,1st,0,211790,63276,275066,0,1,0
Massachusetts,MA,4th,0,245289,76838,322127,0,1,0
Massachusetts,MA,7th,0,216557,32818,249375,0,1,0
Massachusetts,MA,8th,0,259159,68221,327380,0,1,0
Michigan,MI,13th,0,165355,30944,196299,0,1,0
Minnesota,MN,n/a,0,0,0,0,0,0,0
Mississippi,MS,2nd,0,158921,62458,221379,0,1,0
Missouri,MO,n/a,0,0,0,0,0,0,0
Montana,MT,n/a,0,0,0,0,0,0,0
Nebraska,NE,n/a,0,0,0,0,0,0,0
Nevada,NV,n/a,0,0,0,0,0,0,0
New Hampshire,NH,n/a,0,0,0,0,0,0,0
New Jersey,NJ,n/a,0,0,0,0,0,0,0
New Mexico,NM,n/a,0,0,0,0,0,0,0
New York,NY,5th,0,160500,25825,186325,0,1,0
New York,NY,6th,0,104293,45247,149540,0,1,0
New York,NY,7th,0,134125,30710,164835,0,1,0
New York,NY,8th,0,170850,33918,204768,0,1,0
New York,NY,16th,0,172815,35029,207844,0,1,0
New York,NY,17th,0,159923,56349,216272,0,1,0
North Carolina,NC,3rd,187901,0,0,187901,1,0,0
North Dakota,ND,n/a,0,0,0,0,0,0,0
Ohio,OH,n/a,0,0,0,0,0,0,0
Oklahoma,OK,n/a,0,0,0,0,0,0,0
Oregon,OR,n/a,0,0,0,0,0,0,0
Pennsylvania,PA,18th,0,231472,0,231472,0,1,0
Rhode Island,RI,n/a,0,0,0,0,0,0,0
South Carolina,SC,n/a,0,0,0,0,0,0,0
South Dakota,SD,n/a,0,0,0,0,0,0,0
Tennessee,TN,n/a,0,0,0,0,0,0,0
Texas,TX,9th,0,136256,16745,153001,0,1,0
Texas,TX,20th,0,139038,32925,171963,0,1,0
Texas,TX,28th,0,117494,21732,139226,0,1,0
Texas,TX,30th,0,166784,16390,183174,0,1,0
Utah,UT,n/a,0,0,0,0,0,0,0
Vermont,VT,n/a,0,0,0,0,0,0,0
Virginia,VA,3rd,0,198615,19107,217722,0,1,0
Washington,WA,2nd,0,210187,84646,294833,0,1,0
Washington,WA,9th,0,240567,0,240567,0,1,0
West Virginia,WV,n/a,0,0,0,0,0,0,0
Wisconsin,WI,2nd,0,309116,8179,317295,0,1,0
Wyoming,WY,n/a,0,0,0,0,0,0,0
